127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000484
127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000469
127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000530
127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000990
127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000479
127.0.0.1, 2016-03-09 22:21:19, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000479
127.0.0.1, 2016-03-09 22:21:20, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000593
127.0.0.1, 2016-03-09 22:21:20, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000550
127.0.0.1, 2016-03-09 22:21:20, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000544
127.0.0.1, 2016-03-09 22:21:20, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000537
127.0.0.1, 2016-03-09 22:21:21, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000523
127.0.0.1, 2016-03-09 22:21:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.191224
127.0.0.1, 2016-03-09 22:21:34, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.366579
127.0.0.1, 2016-03-09 22:22:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.075686
127.0.0.1, 2016-03-09 22:22:35, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 2.127146
127.0.0.1, 2016-03-09 22:23:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.135283
127.0.0.1, 2016-03-09 22:23:36, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 2.249560
127.0.0.1, 2016-03-09 22:24:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.074040
127.0.0.1, 2016-03-09 22:24:34, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.260231
127.0.0.1, 2016-03-09 22:25:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.116835
127.0.0.1, 2016-03-09 22:25:36, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 2.681627
127.0.0.1, 2016-03-09 22:26:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.124225
127.0.0.1, 2016-03-09 22:26:34, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.427780
127.0.0.1, 2016-03-09 22:27:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.063798
127.0.0.1, 2016-03-09 22:27:34, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.236772
127.0.0.1, 2016-03-09 22:28:10, POST, /admin/default/edit/SPE/models/db-syq.py, HTTP/1.1, 200, 0.070292
127.0.0.1, 2016-03-09 22:28:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.138299
127.0.0.1, 2016-03-09 22:28:35, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 1.583777
127.0.0.1, 2016-03-09 22:29:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.138604
127.0.0.1, 2016-03-09 22:29:36, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 2.452078
127.0.0.1, 2016-03-09 22:30:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.084319
127.0.0.1, 2016-03-09 22:30:35, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 1.513299
127.0.0.1, 2016-03-09 22:31:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.123248
127.0.0.1, 2016-03-09 22:31:37, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 3.218366
127.0.0.1, 2016-03-09 22:32:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.090930
127.0.0.1, 2016-03-09 22:32:35, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 1.525080
127.0.0.1, 2016-03-09 22:33:00, GET, /admin/default/edit/SPE/controllers/default.py, HTTP/1.1, 200, 0.089053
127.0.0.1, 2016-03-09 22:33:00, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.041934
127.0.0.1, 2016-03-09 22:33:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.083246
127.0.0.1, 2016-03-09 22:33:33, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.368897
127.0.0.1, 2016-03-09 22:34:20, POST, /admin/default/edit/SPE/controllers/default.py, HTTP/1.1, 200, 0.101499
127.0.0.1, 2016-03-09 22:34:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.104869
127.0.0.1, 2016-03-09 22:34:34, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 0.322109
127.0.0.1, 2016-03-09 22:34:49, GET, /admin/default/edit/SPE/views/default/permiso_inscripcion_extratemporaneo.html, HTTP/1.1, 200, 0.070374
127.0.0.1, 2016-03-09 22:34:49, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.047340
127.0.0.1, 2016-03-09 22:35:17, POST, /admin/default/edit/SPE/views/default/permiso_inscripcion_extratemporaneo.html, HTTP/1.1, 200, 0.104983
127.0.0.1, 2016-03-09 22:35:32, POST, /admin/default/edit/SPE/models/db-syq.py, HTTP/1.1, 200, 0.072041
127.0.0.1, 2016-03-09 22:35:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.218612
127.0.0.1, 2016-03-09 22:35:34, GET, /SPE/appadmin/hooks, HTTP/1.1, 200, 1.006828
127.0.0.1, 2016-03-09 22:35:35, GET, /SPE/default/index, HTTP/1.1, 200, 0.185314
127.0.0.1, 2016-03-09 22:35:35, GET, /SPE/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000982
127.0.0.1, 2016-03-09 22:35:35, GET, /SPE/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000912
127.0.0.1, 2016-03-09 22:35:35, GET, /SPE/static/css/navbar.css, HTTP/1.1, 304, 0.000924
127.0.0.1, 2016-03-09 22:35:35, GET, /SPE/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001057
127.0.0.1, 2016-03-09 22:35:35, GET, /SPE/static/js/jquery.js, HTTP/1.1, 304, 0.000908
127.0.0.1, 2016-03-09 22:35:35, GET, /SPE/static/css/calendar.css, HTTP/1.1, 304, 0.000911
127.0.0.1, 2016-03-09 22:35:35, GET, /SPE/static/css/general.css, HTTP/1.1, 404, 0.000996
127.0.0.1, 2016-03-09 22:35:35, GET, /SPE/static/css/footer.css, HTTP/1.1, 304, 0.000948
127.0.0.1, 2016-03-09 22:35:35, GET, /SPE/static/js/calendar.js, HTTP/1.1, 304, 0.000947
127.0.0.1, 2016-03-09 22:35:35, GET, /SPE/static/js/web2py.js, HTTP/1.1, 304, 0.000975
127.0.0.1, 2016-03-09 22:35:35, GET, /SPE/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001084
127.0.0.1, 2016-03-09 22:35:35, GET, /SPE/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001124
127.0.0.1, 2016-03-09 22:35:35, GET, /SPE/static/js/share.js, HTTP/1.1, 304, 0.001012
127.0.0.1, 2016-03-09 22:35:36, GET, /SPE/static/css/calendar.css, HTTP/1.1, 200, 0.001316
127.0.0.1, 2016-03-09 22:35:37, GET, /SPE/static/images/home/LogoUniversidadSimonBolivar.png, HTTP/1.1, 304, 0.001171
127.0.0.1, 2016-03-09 22:35:37, GET, /SPE/static/images/twitter.png, HTTP/1.1, 304, 0.001203
127.0.0.1, 2016-03-09 22:35:37, GET, /SPE/static/images/gplus-32.png, HTTP/1.1, 304, 0.002255
127.0.0.1, 2016-03-09 22:35:37, GET, /SPE/static/images/facebook.png, HTTP/1.1, 304, 0.008375
127.0.0.1, 2016-03-09 22:35:37, GET, /SPE/static/images/favicon.ico, HTTP/1.1, 200, 0.001253
127.0.0.1, 2016-03-09 22:35:43, GET, /SPE/default/permiso_evaluacion_extratemporaneo, HTTP/1.1, 200, 0.200675
127.0.0.1, 2016-03-09 22:35:43, GET, /SPE/static/css/general.css, HTTP/1.1, 404, 0.000891
127.0.0.1, 2016-03-09 22:35:47, GET, /SPE/default/permiso_inscripcion_extratemporaneo, HTTP/1.1, 500, 0.527938
127.0.0.1, 2016-03-09 22:35:47, GET, /favicon.ico, HTTP/1.1, 400, 0.003005
127.0.0.1, 2016-03-09 22:35:49, GET, /admin/default/ticket/SPE/127.0.0.1.2016-03-09.22-35-47.50ed3aed-5da3-43b0-9336-34d76c6a7505, HTTP/1.1, 200, 0.336967
127.0.0.1, 2016-03-09 22:35:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000827
127.0.0.1, 2016-03-09 22:36:20, POST, /admin/default/edit/SPE/controllers/default.py, HTTP/1.1, 200, 0.076165
127.0.0.1, 2016-03-09 22:36:27, POST, /admin/default/edit/SPE/controllers/default.py, HTTP/1.1, 200, 0.087387
127.0.0.1, 2016-03-09 22:36:31, GET, /SPE/default/permiso_inscripcion_extratemporaneo, HTTP/1.1, 500, 0.155468
